赛马娘中文名,赛马娘英语名,赛马娘日语名,赛马娘生日,三围,身高(cm),声优(cv),赛马娘特殊称号(中文名),赛马娘特殊称号(日语名),赛马娘特殊称号获取条件
特别周,Special Week,スペシャルウィーク,5月2日,B81·W56·H81,158,和气杏未,日本的总大将,日本の総大将,"在人气第一的情况下以领先5马身差以上获得東京優駿（日本ダービー）的胜利，并在天皇賞（春）、天皇賞（秋）、ジャパンカップ中取胜",
无声铃鹿,Silence Suzuka,サイレンススズカ,5月1日,B70·W53·H79,161,高野麻里佳,异次元的逃亡者,異次元の逃亡者,"在人气第一的情况下使用作战"逃げ"在重赏赛事中取得6连胜，其中需要包括宝塚記念，并且在该赛事中从起跑200m开始一直第一位领先直到比赛结束"
东海帝王,Tokai Teio,トウカイテイオー,4月20日,B77·W54·H76,150,Machico,帝王,帝王,"继承马取得过7次以上G1赛事的胜利；在G1赛事中有4次以上是人气第一；在无败的情况下获得皐月賞、東京優駿（日本ダービー）的胜利；取得有馬記念(第三年)的胜利"
丸善斯基,Maruzensky,マルゼンスキー,5月19日,B93·W58·H88,164,Lynn,Super Car专属,スーパーカー,"无败的情况下获得8连胜，且胜利时达成平均7马身差以上"
富士奇迹,,フジキセキ,4月15日,B84·W58·H82,168,松井惠理子,华丽的三冠赛马娘,麗しの三冠ウマ娘,"出道战以8马身差以上获胜；以第一人气取得朝日杯フューチュリティステークス、皐月賞、菊花賞、東京優駿（日本ダービー）的胜利"
小栗帽,Oguri Cap,オグリキャップ,3月27日,B82·W57·H82,167,高柳知叶,偶像赛马娘,アイドルウマ娘,"取得マイルチャンピオンシップ、安田記念、有馬記念的胜利并达到24w以上粉丝"
黄金船,Gold Ship,ゴールドシップ,3月6日,B88·W55·H88,170,上田瞳,破天荒,破天荒,"在包括皐月賞、菊花賞、宝塚記念的G1赛事中取得6次以上的胜利；粉丝数达到48w以上"
伏特加,Vodka,ウオッカ,4月4日,B76·W55·H78,165,大桥彩香,打破常识的女帝,常識破りの女帝,"在包括東京優駿（日本ダービー）、安田記念、ジャパンカップ、天皇賞（秋）、ヴィクトリアマイル的G1赛事中取得7次以上胜利"
大和赤骥,Daiwa Scarlet,ダイワスカーレット,5月13日,B93·W56·H82,163,木村千咲,Miss.Perfect,ミスパーフェクト,"继承马获取过皐月賞的胜利；所有比赛都是前2名，取得包括桜花賞、秋華賞、エリザベス女王杯在内的重赏赛事(G1、G2和G3)10次胜利"
大树快车,Taiki Shuttle,タイキシャトル,3月23日,B94·W59·H90,172,大坪由佳,最强英里跑者,最強マイラー,"在包含ユニコーンステークス、安田記念的英里重赏比赛中取得5次以上胜利，其中有1次以上是雨天；并在マイルチャンピオンシップ中以5马身差以上取胜"
草上飞,Grass Wonder,グラスワンダー,2月18日,B78·W53·H84,152,前田玲奈,不死鸟,不死鳥,"以干劲"好调"以下的状态取得朝日杯フューチュリティステークス、有馬記念(第二年)、宝塚記念(第三年)、有馬記念(第三年)的胜利"
菱亚马逊,Hishi Amazon,ヒシアマゾン,3月26日,B92·W59·H89,160,巽悠衣子,女杰,女傑,"使用作战"追込"在人气第一的情况下取得重赏6连胜以上，其中2胜以上需要达成“在最终直线超越五人以上”"
目白麦昆,Mejiro McQueen,メジロマックイーン,4月3日,B71·W54·H76,159,大西沙织,名优,名優,"取得菊花賞、天皇賞（春）的胜利；基础能力"耐力"达到1200以上；粉丝数32w以上"
神鹰,El Condor Pasa,エルコンドルパサー,3月17日,B89·W58·H86,163,高桥未奈美,怪鸟,怪鳥,"全部比赛都在前二；使用作战"先行"取得ジャパンカップ(第二年)的胜利；粉丝数达到32w以上"
好歌剧,T.M. Opera O,テイエムオペラオー,3月13日,B76·W55·H80,156,德井青空,世纪末霸王,世紀末覇王,"在包含天皇賞（春）、宝塚記念、天皇賞（秋）、ジャパンカップ、有馬記念的重赏(G1、G2和G3)中取得8次以上连胜"
成田白仁,Narita Brian,ナリタブライアン,5月3日,B91·W58·H85,160,衣川里佳,不惧暗影的怪物,影をも恐れぬ怪物,"皋月赏以3又1/2马身差以上、東京優駿（日本ダービー）以5马身差以上、菊花賞以7马身差以上获得胜利，有馬記念获得两连霸（第二年和第三年均取得优胜）"
鲁道夫象征,Symboli Rudolf,
气槽,Air Groove,
爱丽数码,Agnes Digital,
青云天空,Seiun Sky,
玉藻十字,Tamamo Cross,
美妙姿势,Fine Motion,
琵琶晨光,Biwa Hayahide,
摩耶重炮,Mayano Top Gun,
曼城茶座,Manhattan Cafe,
美浦波旁,Mihono Bourbon,
目白赖恩,Mejiro Ryan,
菱曙,Hishi Akebono,
雪之美人,Yukino Bijin,
米浴,Rice Shower,
艾尼斯风神,Ines Fujin,
爱丽速子,Agnes Tachyon,
爱慕织姬,Admire Vega,
稻荷一,Inari One,
胜利奖券,Winning Ticket,
空中神宫,Air Shakur,
荣进闪耀,Eishin Flash,
真机伶,Curren Chan,
川上公主,Kawakami Princess,
黄金城市,Gold City,
樱花进王,Sakura Bakushin O,
采珠,Seeking the Pearl,
新光风,Shinko Windy,
东商变革,Sweep Tosho,
超级溪流,Super Creek,
醒目飞鹰,Smart Falcon,
荒漠英雄,Zenno Rob Roy,
东瀛佐敦,Tosen Jordan,
中山庆典,Nakayama Festa,
成田大进,Narita Taishin,
西野花,Nishino Flower,
春丽,Haru Urara,
青竹回忆,Bamboo Memory,
微光飞驹,Biko Pegasus,
美丽周日,Marvelous Sunday,
待兼福来,Matikane fukukitaru,
千明代表,Mr. C.B.,
名将怒涛,Meisho Doto,
目白多伯,Mejiro Dober,
优秀素质,Nice Nature,
圣王光环,King Halo,
待兼诗歌剧,Matikane tannhauser,
生野狄杜斯,Ikuno Dictus,
目白善信,Mejiro Palmer,
大拓太阳神,Daitaku Helios,
双涡轮,Twin Turbo,
里见光钻,Satono Diamond,
北部玄驹,Kitasan Black,
樱花千代王,Sakura Chiyono O,
天狼星象征,Sirius Symboli,
目白阿尔丹,Mejiro Ardan,
八重无敌,Yaeno Muteki,
鹤丸刚志,Tsurumaru Tsuyoshi,
目白光明,Mejiro Bright,
谋勇兼备,Daring Tact,
樱花桂冠,Sakura Laurel,
成田路,Narita Top Road,
也文摄辉,Yamanin Zephyr,
狂怒乐章,Furioso,
创升,Transcend,
希望之城,Espoir City,
北方飞翔,North Flight,
吉兆,Symboli Kris S,
谷野美酒,Tanino Gimlet,
第一红宝石,Daiichi Ruby,
目白高峰,Mejiro Ramonu,
真弓快车,Aston Machan,
里见皇冠,Satono Crown,
高尚骏逸,Cheval Grand,
极峰,Verxina,
强击,Vivlos,
烈焰快驹,Dantsu Flame,
凯斯奇迹,K.S.Miracle,
森林宝穴,Jungle Pocket,
信念,Believe,
莫名其妙,No Reason,
爱如往昔,Still in Love,
小林历奇,Copano Rickey,
北港火山,Hokko Tarumae,
奇锐骏,Wonder Acute,
大森逊,Samson Big,
万籁争鸣,Sounds of Earth,
罗伊斯兄弟,Royce and Royce,
葛城王牌,Katsuragi Ace,
新宇宙,Neo Universe,
菱钻奇宝,Hishi Miracle,
跳舞城,Tap Dance City,
大鸣大放,Duramente,
莱茵力量,Rhein Kraft,
西沙里奥,Cesario,
空中救世主,Air Messiah,
勇敢之心,Daring Heart,
迷人景致,Buena Vista,
黄金巨匠,Orfevre,
贵妇人,Gentildonna,
凯旋芭蕾,Win Variation,
梦之旅,Dream Journey,
金镇之光,Calstone Light O,
多旺达,Durandal,
吹波糖,Bubble Gum Fellow,
